"year","measure_id","measure_name","measure_parent","measure_index","description","direction","format_type","display_precision","measure_type","weight_numerator","weight_denominator","compare_states","last_updated","years_used"
2011,37,"Low birthweight",2,4,"Percentage of live births with low birthweight (< 2,500 grams).",1,1,1,0,1,5,1,"2023-10-11 15:31:10","2001-2007"
2011,39,"Motor vehicle crash deaths",7,2,"Number of motor vehicle crash deaths per 100,000 population.",1,0,0,0,1,40,0,"2023-10-11 15:31:10","2001-2007"
2011,40,"Inadequate social support",12,1,"Percentage of adults without adequate social/emotional support.",1,1,0,0,1,40,1,"2023-10-11 15:31:10","2005-2009"
2011,41,"Liquor store density",15,3,"Number of liquor stores per 100,000 population.",1,0,1,2,0,1,1,"2023-10-11 15:31:10",""
2011,42,"Poor mental health days",2,3,"Average number of mentally unhealthy days reported in past 30 days (age-adjusted).",1,0,1,0,1,10,1,"2023-10-11 15:31:10","2003-2009"
2011,43,"Violent crime",9,1,"Number of reported violent crime offenses per 100,000 population.",1,0,0,0,1,20,0,"2023-10-11 15:31:10","2006-2008"
2011,45,"Sexually transmitted infections",8,1,"Number of newly diagnosed chlamydia cases per 100,000 population.",1,0,0,0,1,40,2,"2023-10-11 15:31:10","2008"
2011,46,"Air pollution-particulate matter days",13,1,"Annual number of unhealthy air quality days due to fine particulate matter.",1,0,0,0,1,40,1,"2023-10-11 15:31:10","2006"
2011,47,"Did not get needed health care",3,5,"Percentage of population that did not receive needed health care in the past year.",1,1,0,1,0,1,0,"2023-10-11 15:31:10","2002-2008"
2011,48,"Contaminants in municipal water (WI)",29,3,"Percent of municipal water users exposed to maximum contaminant limit (MCL) violation.",1,1,0,1,0,1,1,"2023-10-11 15:31:10","2009"
2011,49,"Excessive drinking",7,1,"Percentage of adults reporting binge or heavy drinking.",1,1,0,0,1,40,1,"2023-10-11 15:31:10","2003-2009"
2011,50,"Mammography screening",4,3,"Percentage of female Medicare enrollees ages 67-69 that receive mammography screening.",-1,1,1,0,1,40,1,"2023-10-11 15:31:10","2006-2007"
2011,51,"Population",18,1,"Resident population.",0,0,0,3,0,1,0,"2023-10-11 15:31:10","2009"
2011,52,"% below 18 years of age",18,2,"Percentage of population below 18 years of age.",0,1,1,3,0,1,0,"2023-10-11 15:31:10","2009"
2011,53,"% 65 and older",18,3,"Percentage of population ages 65 and older.",0,1,1,3,0,1,0,"2023-10-11 15:31:10","2009"
2011,54,"% Non-Hispanic African American",18,4,"Percentage of population that is non-Hispanic African American.",0,1,1,3,0,1,0,"2023-10-11 15:31:10","2009"
2011,55,"% American Indian and Alaskan Native",18,5,"Percentage of population that is American Indian or Alaskan Native.",0,1,1,3,0,1,0,"2023-10-11 15:31:10","2009"
2011,56,"% Hispanic",18,8,"Percentage of population that is Hispanic.",0,1,1,3,0,1,0,"2023-10-11 15:31:10","2009"
2011,57,"% Females",18,10,"Percentage of population that is female.",0,1,1,3,0,1,1,"2023-10-11 15:31:10","2009"
2011,58,"% Rural",18,11,"Percentage of population living in a rural area.",0,1,1,3,0,1,1,"2023-10-11 15:31:10","2000"
2011,59,"% not proficient in English",18,9,"Percentage of population that is not proficient in English.",0,1,1,3,0,1,1,"2023-10-11 15:31:10","2009"
2011,60,"Diabetes prevalence",2,5,"Percentage of adults aged 20 and above with diagnosed diabetes.",1,1,0,2,0,1,0,"2023-10-11 15:31:10","2008"
2011,61,"HIV prevalence",2,6,"Number of people aged 13 years and older living with a diagnosis of human immunodeficiency virus (HIV) infection per 100,000 population.",1,0,0,2,0,1,0,"2023-10-11 15:31:10","2007"
2011,62,"Mental health providers",3,3,"Ratio of population to mental health providers.",-1,3,0,2,0,1,1,"2023-10-11 15:31:10","2008"
2011,63,"Median household income",17,2,"The income where half of households in a county earn more and half of households earn less.",-1,2,0,2,0,1,0,"2023-10-11 15:31:10","2008"
2011,64,"High housing costs",17,3,"Percentage of households with housing costs >= 30% of household income.",1,1,0,2,0,1,0,"2023-10-11 15:31:10","2005-2009"
2011,65,"Children eligible for free lunch",17,4,"Percentage of children enrolled in public schools that are eligible for free lunch.",1,1,0,2,0,1,0,"2023-10-11 15:31:10","2005-2006"
2011,66,"Illiteracy",10,3,"Percentage of population age 16 and older that lacks basic prose literacy skills.",1,1,1,2,0,1,0,"2023-10-11 15:31:10","2003"
2011,67,"Driving alone to work",29,1,"Percentage of the workforce that drives alone to work.",1,1,0,2,0,1,0,"2023-10-11 15:31:10","2005-2009"
2011,68,"Access to recreational facilities",15,2,"Rate of recreational facilities per 100,000 population.",-1,0,0,0,1,40,1,"2023-10-11 15:31:10","2008"
2011,69,"Some college",10,2,"Percentage of adults ages 25-44 with some post-secondary education.",-1,1,1,0,1,20,1,"2023-10-11 15:31:10","2005-2009"
2011,70,"Physical inactivity",6,2,"Percentage of adults age 20 and over reporting no leisure-time physical activity.",1,1,0,2,0,1,2,"2023-10-11 15:31:10","2008"
2011,72,"Excessive drinking (FL)",7,4,"Adults who engage in heavy or binge drinking.",1,1,0,1,0,1,1,"2023-10-11 15:31:10",""
2011,73,"Adequate social/emotional support (FL)",12,3,"Adults who always or usually receive the social and emotional support they need.",-1,1,0,1,0,1,1,"2023-10-11 15:31:10",""
2011,74,"Adult smoking (FL)",5,3,"Adults who are current smokers.",1,1,0,1,0,1,1,"2023-10-11 15:31:10",""
2011,75,"Overweight or obese adults (FL)",6,3,"Adults who are overweight or obese.",1,1,0,1,0,1,1,"2023-10-11 15:31:10",""
2011,76,"Fruit and vegetable consumption (FL)",6,4,"Adults who consume at least five servings of fruits and vegetables a day.",-1,1,0,1,0,1,1,"2023-10-11 15:31:10",""
2011,77,"Adults who have a personal doctor (FL)",3,6,"Adults who have a personal doctor.",-1,1,0,1,0,1,1,"2023-10-11 15:31:10",""
2011,78,"Adults engaging in moderate physical activity (FL)",6,5,"Adults who meet moderate physical activity recommendations.",-1,1,0,1,0,1,1,"2023-10-11 15:31:10",""
2011,79,"Insured adults (FL)",3,7,"Adults with any type of health care insurance coverage.",-1,1,0,1,0,1,1,"2023-10-11 15:31:10",""
2011,80,"% Native Hawaiian/Other Pacific Islander",18,7,"Percentage of population that is Native Hawaiian or other Pacific Islander.",0,1,1,3,0,1,0,"2023-10-11 15:31:10","2009"
2011,81,"% Asian",18,6,"Percentage of population that is Asian.",0,1,1,3,0,1,0,"2023-10-11 15:31:10","2009"
2011,82,"Children in single-parent households",12,2,"Percentage of children that live in a household headed by single parent.",1,1,0,0,1,40,1,"2023-10-11 15:31:10","2005-2009"
2011,89,"Binge drinking (NY)",7,5,"Percent of adults that report binge drinking in the past 30 days.",1,1,0,1,0,1,1,"2023-10-11 15:31:10",""
2011,90,"Dental visit within the past year (NY)",3,8,"Percent of population that had a dental visit in the past year.",-1,1,0,1,0,1,1,"2023-10-11 15:31:10",""
2011,91,"Fair or poor health (NY)",2,7,"Percent of adults reporting fair or poor health (age-adjusted).",1,1,0,1,0,1,1,"2023-10-11 15:31:10",""
2011,92,"Excessive drinking (NY)",7,6,"Adults who engage in heavy or binge drinking.",1,1,0,1,0,1,1,"2023-10-11 15:31:10",""
2011,93,"No leisure time physical activity (NY)",6,7,"Percent of adults aged 20 and over reporting no leisure time physical activity.",1,1,0,1,0,1,1,"2023-10-11 15:31:10",""
2011,94,"Obese adults (NY)",6,6,"Adults who are obese.",1,1,0,1,0,1,1,"2023-10-11 15:31:10",""
2011,95,"Adult smoking (NY)",5,4,"Adults who are current smokers.",1,1,0,1,0,1,1,"2023-10-11 15:31:10",""
2012,1,"Premature death",1,1,"Years of potential life lost before age 75 per 100,000 population (age-adjusted).",1,0,0,0,1,2,1,"2023-10-11 15:31:10","2006-2008"
2012,2,"Poor or fair health",2,1,"Percentage of adults reporting fair or poor health (age-adjusted).",1,1,0,0,1,10,1,"2023-10-11 15:31:10","2004-2010"
2012,3,"Uninsured adults",3,5,"Percentage of adults under age 65 without health insurance.",1,1,0,2,0,1,1,"2023-10-11 15:31:10","2009"
2012,4,"Primary care physicians",3,2,"Ratio of population to primary care physicians.",-1,3,0,0,1,20,1,"2023-10-11 15:31:10","2008"
2012,5,"Preventable hospital stays",4,1,"Rate of hospital stays for ambulatory-care sensitive conditions per 1,000 Medicare enrollees.",1,0,0,0,1,20,1,"2023-10-11 15:31:10","2009"
2012,6,"No recent dental visit",3,8,"Percentage of the population (age 2+) that did not have a dental visit in the past year.",1,1,0,1,0,1,0,"2023-10-11 15:31:10","2003-2009"
2012,7,"Diabetes monitoring",4,2,"Percentage of diabetic Medicare enrollees ages 65-75 that receive HbA1c monitoring.",-1,1,0,0,1,40,1,"2023-10-11 15:31:10","2009"
2012,9,"Adult smoking",5,1,"Percentage of adults who are current smokers.",1,1,0,0,1,10,1,"2023-10-11 15:31:10","2004-2010"
2012,10,"Smoking during pregnancy",5,2,"Percentage of births where mother reports smoking during pregnancy.",1,1,0,1,0,1,0,"2023-10-11 15:31:10","2007-2009"
2012,11,"Adult obesity",6,1,"Percentage of the adult population (age 20 and older) that reports a body mass index (BMI) greater than or equal to 30 kg/m2.",1,1,0,0,3,40,2,"2023-10-11 15:31:10","2009"
2012,14,"Teen births",8,2,"Number of births per 1,000 female population ages 15-19.",1,0,0,0,1,40,1,"2023-10-11 15:31:10","2002-2008"
2012,15,"Homicides",9,2,"Number of deaths due to homicide per 100,000 population.",1,0,0,2,0,1,1,"2023-10-11 15:31:10","2002-2008"
2012,18,"Motor vehicle crash occupancy rate",16,1,"Motor vehicle crash occupancy rate per 1,000 population.",1,0,0,1,0,1,0,"2023-10-11 15:31:10","2007-2009"
2012,19,"On-road motor vehicle crash-related ER visits",16,2,"On-road motor vehicle crash-related emergency room visits per 100,000 population.",1,0,0,1,0,1,0,"2023-10-11 15:31:10","2007-2009"
2012,20,"Off-road motor vehicle crash-related ER visits",16,3,"Off-road motor vehicle crash-related emergency room visits per 100,000 population.",1,0,0,1,0,1,0,"2023-10-11 15:31:10","2007-2009"
2012,21,"High school graduation",10,1,"Percentage of ninth-grade cohort that graduates in four years.",-1,1,0,0,1,20,0,"2023-10-11 15:31:10","2008-2009"
2012,23,"Unemployment",11,1,"Percentage of population ages 16 and older unemployed but seeking work.",1,1,1,0,1,10,1,"2023-10-11 15:31:10","2010"
2012,24,"Children in poverty",17,1,"Percentage of people under age 18 in poverty.",1,1,0,0,1,10,1,"2023-10-11 15:31:10","2010"
2012,29,"Air pollution-ozone days",13,2,"Annual number of unhealthy air quality days due to ozone.",1,0,0,0,1,50,1,"2023-10-11 15:31:10","2007"
2012,30,"Access to healthy foods",15,3,"Healthy food outlets include grocery stores and produce stands/farmers' markets.",-1,1,0,0,1,50,1,"2023-10-11 15:31:10","2009"
2012,33,"Municipal water (WI)",29,2,"Percentage of the population on a municipal water system.",-1,1,0,1,0,1,1,"2023-10-11 15:31:10","2011"
2012,34,"Lead poisoned children (WI)",15,6,"Prevalence of elevated blood lead levels among children under age 6.",1,1,0,1,0,1,1,"2023-10-11 15:31:10","2010"
2012,36,"Poor physical health days",2,2,"Average number of physically unhealthy days reported in past 30 days (age-adjusted).",1,0,1,0,1,10,1,"2023-10-11 15:31:10","2004-2010"
2012,37,"Low birthweight",2,4,"Percentage of live births with low birthweight (< 2,500 grams).",1,1,1,0,1,5,1,"2023-10-11 15:31:10","2002-2008"
2012,39,"Motor vehicle crash deaths",7,2,"Number of motor vehicle crash deaths per 100,000 population.",1,0,0,0,1,40,0,"2023-10-11 15:31:10","2002-2008"
2012,40,"Inadequate social support",12,1,"Percentage of adults without adequate social/emotional support.",1,1,0,0,1,40,1,"2023-10-11 15:31:10","2005-2010"
2012,42,"Poor mental health days",2,3,"Average number of mentally unhealthy days reported in past 30 days (age-adjusted).",1,0,1,0,1,10,1,"2023-10-11 15:31:10","2004-2010"
2012,43,"Violent crime",9,1,"Number of reported violent crime offenses per 100,000 population.",1,0,0,0,1,20,0,"2023-10-11 15:31:10","2007-2009"
2012,45,"Sexually transmitted infections",8,1,"Number of newly diagnosed chlamydia cases per 100,000 population.",1,0,0,0,1,40,2,"2023-10-11 15:31:10","2009"
2012,46,"Air pollution-particulate matter days",13,1,"Annual number of unhealthy air quality days due to fine particulate matter.",1,0,0,0,1,50,1,"2023-10-11 15:31:10","2007"
2012,47,"Did not get needed health care",3,9,"Percentage of population that did not receive needed health care in the past year.",1,1,0,1,0,1,0,"2023-10-11 15:31:10","2003-2009"
2012,48,"Contaminants in municipal water (WI)",29,3,"Percent of municipal water users exposed to maximum contaminant limit (MCL) violation.",1,1,0,1,0,1,1,"2023-10-11 15:31:10","2010"
2012,49,"Excessive drinking",7,1,"Percentage of adults reporting binge or heavy drinking.",1,1,0,0,1,40,1,"2023-10-11 15:31:10","2004-2010"
2012,50,"Mammography screening",4,3,"Percentage of female Medicare enrollees ages 67-69 that receive mammography screening.",-1,1,1,0,1,40,1,"2023-10-11 15:31:10","2009"
2012,51,"Population",18,1,"Resident population.",0,0,0,3,0,1,0,"2023-10-11 15:31:10","2009"
2012,52,"% below 18 years of age",18,2,"Percentage of population below 18 years of age.",0,1,1,3,0,1,0,"2023-10-11 15:31:10","2009"
2012,53,"% 65 and older",18,3,"Percentage of population ages 65 and older.",0,1,1,3,0,1,0,"2023-10-11 15:31:10","2009"
2012,54,"% Non-Hispanic African American",18,4,"Percentage of population that is non-Hispanic African American.",0,1,1,3,0,1,0,"2023-10-11 15:31:10","2009"
2012,55,"% American Indian and Alaskan Native",18,5,"Percentage of population that is American Indian or Alaskan Native.",0,1,1,3,0,1,0,"2023-10-11 15:31:10","2009"
2012,56,"% Hispanic",18,8,"Percentage of population that is Hispanic.",0,1,1,3,0,1,0,"2023-10-11 15:31:10","2009"
2012,57,"% Females",18,10,"Percentage of population that is female.",0,1,1,3,0,1,1,"2023-10-11 15:31:10","2009"
2012,58,"% Rural",18,11,"Percentage of population living in a rural area.",0,1,1,3,0,1,1,"2023-10-11 15:31:10","2000"
2012,59,"% not proficient in English",18,9,"Percentage of population that is not proficient in English.",0,1,1,3,0,1,1,"2023-10-11 15:31:10","2009"
2012,60,"Diabetes prevalence",2,5,"Percentage of adults aged 20 and above with diagnosed diabetes.",1,1,0,2,0,1,0,"2023-10-11 15:31:10","2009"
2012,61,"HIV prevalence",2,6,"Number of people aged 13 years and older living with a diagnosis of human immunodeficiency virus (HIV) infection per 100,000 population.",1,0,0,2,0,1,0,"2023-10-11 15:31:10","2008"
2012,62,"Mental health providers",3,3,"Ratio of population to mental health providers.",-1,3,0,2,0,1,1,"2023-10-11 15:31:10","2008"
2012,63,"Median household income",17,2,"The income where half of households in a county earn more and half of households earn less.",-1,2,0,2,0,1,1,"2023-10-11 15:31:10","2010"
2012,64,"High housing costs",17,3,"Percentage of households with housing costs >= 30% of household income.",1,1,0,2,0,1,0,"2023-10-11 15:31:10","2006-2010"
2012,65,"Children eligible for free lunch",17,4,"Percentage of children enrolled in public schools that are eligible for free lunch.",1,1,0,2,0,1,0,"2023-10-11 15:31:10","2005-2006"
2012,66,"Illiteracy",10,3,"Percentage of population age 16 and older that lacks basic prose literacy skills.",1,1,1,2,0,1,0,"2023-10-11 15:31:10","2003"
2012,67,"Driving alone to work",29,1,"Percentage of the workforce that drives alone to work.",1,1,0,2,0,1,0,"2023-10-11 15:31:10","2006-2010"
2012,68,"Access to recreational facilities",15,1,"Rate of recreational facilities per 100,000 population.",-1,0,0,0,1,50,1,"2023-10-11 15:31:10","2009"
2012,69,"Some college",10,2,"Percentage of adults ages 25-44 with some post-secondary education.",-1,1,1,0,1,20,1,"2023-10-11 15:31:10","2006-2010"
2012,70,"Physical inactivity",6,2,"Percentage of adults age 20 and over reporting no leisure-time physical activity.",1,1,0,0,1,40,2,"2023-10-11 15:31:10","2009"
2012,80,"% Native Hawaiian/Other Pacific Islander",18,7,"Percentage of population that is Native Hawaiian or other Pacific Islander.",0,1,1,3,0,1,0,"2023-10-11 15:31:10","2009"
2012,81,"% Asian",18,6,"Percentage of population that is Asian.",0,1,1,3,0,1,0,"2023-10-11 15:31:10","2009"
2012,82,"Children in single-parent households",12,2,"Percentage of children that live in a household headed by single parent.",1,1,0,0,1,40,1,"2023-10-11 15:31:10","2006-2010"
2012,83,"Limited access to healthy foods",15,2,"Percentage of population who are low-income and do not live close to a grocery store.",1,1,0,0,1,50,0,"2023-10-11 15:31:10","2006"
2012,84,"Fast food restaurants",15,4,"Percent of all restaurants that are fast-food establishments.",1,1,0,0,1,50,1,"2023-10-11 15:31:10","2009"
2012,85,"Uninsured",3,1,"Percentage of population under age 65 without health insurance.",1,1,0,0,1,20,1,"2023-10-11 15:31:10","2009"
2012,86,"Health care costs",3,4,"Amount of price-adjusted Medicare reimbursements per enrollee (age-adjusted).",0,2,0,2,0,1,0,"2023-10-11 15:31:10","2007"
2012,87,"Could not see doctor due to cost",3,6,"Percentage of adults who could not see a doctor in the past 12 months because of cost.",1,1,0,2,0,1,0,"2023-10-11 15:31:10","2004-2010"
2012,88,"Dentists",3,7,"Ratio of population to dentists.",-1,3,0,2,0,1,1,"2023-10-11 15:31:10","2007"
2012,96,"Access to healthy foods",15,5,"Healthy food outlets include grocery stores and produce stands/farmers' markets.",-1,1,0,2,0,1,1,"2023-10-11 15:31:10","2009"
2013,1,"Premature death",1,1,"Years of potential life lost before age 75 per 100,000 population (age-adjusted).",1,0,0,0,1,2,1,"2023-10-11 15:31:10","2008-2010"
2013,2,"Poor or fair health",2,1,"Percentage of adults reporting fair or poor health (age-adjusted).",1,1,0,0,1,10,1,"2023-10-11 15:31:10","2005-2011"
2013,3,"Uninsured adults",3,6,"Percentage of adults under age 65 without health insurance.",1,1,0,2,0,1,1,"2023-10-11 15:31:10","2010"
2013,4,"Primary care physicians",3,2,"Ratio of population to primary care physicians.",-1,3,0,0,3,100,1,"2023-10-11 15:31:10","2010"
2013,5,"Preventable hospital stays",4,1,"Rate of hospital stays for ambulatory-care sensitive conditions per 1,000 Medicare enrollees.",1,0,0,0,1,20,1,"2023-10-11 15:31:10","2010"
